T rho P
23.1550191652138 1.25892541179417e-12 8.87983329879362e-16
23.1550191652138 1.58489319246111e-12 8.87983329879362e-16
23.1550191652138 1.99526231496888e-12 8.87983329879362e-16
23.1550191652138 2.51188643150958e-12 8.87983329879362e-16
23.1550191652138 3.16227766016838e-12 8.87983329879362e-16
23.1550191652138 3.98107170553497e-12 8.87983329879362e-16
23.1550191652138 5.01187233627271e-12 8.87983329879362e-16
23.1550191652138 6.30957344480194e-12 8.87983329879362e-16
23.1550191652138 7.94328234724282e-12 8.87983329879362e-16
23.1550191652138 1e-11 8.87983329879362e-16
23.1550191652138 1.25892541179417e-11 8.87983329879362e-16
23.1550191652138 1.58489319246111e-11 8.87983329879362e-16
23.1550191652138 1.99526231496888e-11 8.87983329879362e-16
23.1550191652138 2.51188643150958e-11 8.87983329879362e-16
23.1550191652138 3.16227766016838e-11 8.87983329879362e-16
23.1550191652138 3.98107170553497e-11 8.87983329879362e-16
23.1550191652138 5.01187233627271e-11 8.87983329879362e-16
23.1550191652138 6.30957344480194e-11 8.87983329879362e-16
23.1550191652138 7.94328234724282e-11 8.87983329879362e-16
23.1550191652138 1e-10 8.87983329879362e-16
23.1550191652138 1.25892541179417e-10 8.87983329879362e-16
23.1550191652138 1.58489319246111e-10 8.87983329879362e-16
23.1550191652138 1.99526231496888e-10 8.87983329879362e-16
23.1550191652138 2.51188643150958e-10 8.87983329879362e-16
23.1550191652138 3.16227766016838e-10 8.87983329879362e-16
23.1550191652138 3.98107170553497e-10 8.87983329879362e-16
23.1550191652138 5.01187233627271e-10 8.87983329879362e-16
23.1550191652138 6.30957344480194e-10 8.87983329879362e-16
23.1550191652138 7.94328234724282e-10 8.87983329879362e-16
23.1550191652138 1e-09 8.87983329879362e-16
23.1550191652138 1.25892541179417e-09 8.87983329879362e-16
23.1550191652138 1.58489319246111e-09 8.87983329879362e-16
23.1550191652138 1.99526231496888e-09 8.87983329879362e-16
23.1550191652138 2.51188643150958e-09 8.87983329879362e-16
23.1550191652138 3.16227766016838e-09 8.87983329879362e-16
23.1550191652138 3.98107170553497e-09 8.87983329879362e-16
23.1550191652138 5.01187233627271e-09 8.87983329879362e-16
23.1550191652138 6.30957344480194e-09 8.87983329879362e-16
23.1550191652138 7.94328234724282e-09 8.87983329879362e-16
23.1550191652138 1e-08 8.87983329879362e-16
23.1550191652138 1.25892541179417e-08 8.87983329879362e-16
23.1550191652138 1.58489319246111e-08 8.87983329879362e-16
23.1550191652138 1.99526231496888e-08 8.87983329879362e-16
23.1550191652138 2.51188643150958e-08 8.87983329879362e-16
23.1550191652138 3.16227766016838e-08 8.87983329879362e-16
23.1550191652138 3.98107170553497e-08 8.87983329879362e-16
23.1550191652138 5.01187233627272e-08 8.87983329879362e-16
23.1550191652138 6.30957344480193e-08 8.87983329879362e-16
23.1550191652138 7.94328234724282e-08 8.87983329879362e-16
23.1550191652138 1e-07 8.87983329879362e-16
23.1550191652138 1.25892541179417e-07 8.87983329879362e-16
23.1550191652138 1.58489319246111e-07 8.87983329879362e-16
23.1550191652138 1.99526231496888e-07 8.87983329879362e-16
23.1550191652138 2.51188643150958e-07 8.87983329879362e-16
23.1550191652138 3.16227766016838e-07 8.87983329879362e-16
23.1550191652138 3.98107170553497e-07 8.87983329879362e-16
23.1550191652138 5.01187233627272e-07 8.87983329879362e-16
23.1550191652138 6.30957344480193e-07 8.87983329879362e-16
23.1550191652138 7.94328234724282e-07 8.87983329879362e-16
23.1550191652138 1e-06 8.87983329879362e-16
23.1550191652138 1.25892541179417e-06 8.87983329879362e-16
23.1550191652138 1.58489319246111e-06 8.87983329879362e-16
23.1550191652138 1.99526231496888e-06 8.87983329879362e-16
23.1550191652138 2.51188643150958e-06 8.87983329879362e-16
23.1550191652138 3.16227766016838e-06 8.87983329879362e-16
23.1550191652138 3.98107170553497e-06 8.87983329879362e-16
23.1550191652138 5.01187233627272e-06 8.87983329879362e-16
23.1550191652138 6.30957344480193e-06 8.87983329879362e-16
